COUNTRY;YEAR;CODE;NDN;NDC;NDC per 1000 borns;NDN per 1000 borns;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Russian Federation;2012;RUS2012;178;1346;0,701673062786759;0,092791831482944;913;35;No;13330;72,2;1918272,3;13,3;88;9;60;23;200000;63,4;144231000;0,138666444800355
Russian Federation;2013;RUS2013;162;1263;0,663392877965335;0,085090772945672;957;35;No;14840;72,2;1903849,2;13,2;88;9;60;23;200000;63,4;144231000;0,138666444800355
Turkey;2012;TUR2012;109;703;0,512142438249682;0,079407575774133;569;97;Yes;11880;93,7;1372665;17;94;97;43;14;50000;66,2;80745000;0,061923338906434
Turkey;2013;TUR2013;146;924;0,67314311940641;0,106362440945169;608;97;Yes;12530;94,1;1372665;17;95;98;42;13;50000;66,2;80745000;0,061923338906434
Saudi Arabia;2000;SAU2000;116;1224;1,42925870049557;0,135452621942391;396;90;Yes;8110;100;856388;26;98;10;20;4;500;62,8;32938000;0,001518003521768
Argenti;2000;ARG2000;141;1010;1,20073851362838;0,167627851902576;710;40;Yes;7440;95,5;841149;19;95;14;44;34;5500;65,4;44271000;0,012423482641007
Argenti;2012;ARG2012;92;634;0,795604847919004;0,115450545754808;994;41;Yes;11790;95,5;796878;18;95;15;32;21;5500;67,6;44271000;0,012423482641007
Argenti;2013;ARG2013;80;648;0,813173409229518;0,100391778917224;1074;86;Yes;12770;95,8;796878;18;95;16;31;19;5500;67,6;44271000;0,012423482641007
Venezuela (Bolivarian Republic of);2000;VEN2000;188;1083;1,41117052881759;0,244967737227799;273;5;Yes;3530;94;767448;24;87;28;21,6;11,8;6800;63,8;31977000;0,021265284423179
Thailand;2013;THA2013;184;816;1,07450705671975;0,242290806907395;264;50;No;5730;93,1;759418;11;95;133;42;2;6400;66,8;69038000;0,009270256959935
